ID,DrivingChildren,DOB,Age,HomeChildren,YearsOnJob,Income,SingleParent,HomeValue,MaritalStatus,Gender,Education,Occupation,TravelTime,CarUse,VehicleValue,TimeInForce,CarType,RedCar,TotalClaims5Years,ClaimsFrequency5Years,LicenseRevoked,VehiclePoints,ClaimsAmount,CarAge,ClaimsFlagCrash,CityPopulation
376482434,0,3/3/1944,55,0,11,59162,No,180232,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,Yes,5028,2,Yes,3,0,9,No,Urban
588888550,0,1/17/1954,45,0,0,0,No,106859,Yes,F,High School,Home Maker,48,Private,6000,1,SUV,No,0,0,No,3,2920,5,Yes,Urban
140015922,0,8/6/1960,39,3,12,51884,Yes,180951,No,F,Bachelors,Clerical,43,Private,10590,6,SUV,No,0,0,No,0,0,13,No,Rural
162166370,0,4/19/1940,59,0,12,87460,No,0,No,M,High School,Manager,45,Private,15420,1,Minivan,Yes,44857,2,No,4,4111,1,Yes,Urban
884513944,0,12/20/1956,42,0,11,59945,No,192207,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,No,0,0,No,0,0,16,No,Urban
627708979,0,9/14/1965,34,3,13,34019,No,91875,Yes,F,Masters,Lawyer,27,Private,8300,7,SUV,No,0,0,No,0,0,20,No,Urban
116375554,0,10/6/1968,31,2,12,18903,No,93797,Yes,F,High School,Clerical,48,Private,17330,4,Minivan,No,0,0,No,0,0,7,No,Urban
235358484,0,2/22/1971,28,1,13,44077,No,170598,Yes,F,High School,Blue Collar,29,Commercial,8710,6,SUV,No,8935,2,No,0,6857,1,Yes,Urban
528040687,0,2/7/1956,43,0,13,37214,No,0,Yes,M,High School,Blue Collar,52,Commercial,26560,1,Panel Truck,Yes,0,0,No,3,3627,1,Yes,Urban
652572577,0,12/16/1950,48,0,14,96274,No,282904,Yes,F,Masters,Lawyer,36,Private,11130,6,SUV,No,8250,1,No,5,0,14,No,Urban
410873772,0,7/24/1952,47,0,11,46281,No,0,No,F,High School,Blue Collar,29,Private,19700,10,Minivan,No,0,0,No,1,0,5,No,Urban
254362485,2,7/6/1955,44,2,0,0,No,82344,Yes,F,High School,Home Maker,8,Private,5900,6,SUV,No,3338,3,No,0,0,11,No,Urban
201327208,0,12/14/1938,60,0,12,37940,No,182739,Yes,F,High School,Blue Collar,16,Commercial,11290,1,Sports Car,No,0,0,No,0,5247,1,Yes,Urban
573751437,0,12/14/1965,33,1,13,79606,No,225962,Yes,F,Bachelors,Professional,27,Private,16830,9,SUV,No,0,0,No,2,0,15,No,Rural
483050926,0,4/17/1967,32,1,9,31275,No,118160,Yes,F,High School,Clerical,26,Private,10030,1,SUV,No,0,0,No,0,4486,1,Yes,Urban
146989842,1,4/9/1955,44,2,17,45488,No,219378,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,No,0,0,No,0,0,12,No,Urban
742435591,0,4/5/1964,35,0,8,72193,No,0,No,F,Bachelors,Clerical,26,Private,12220,6,SUV,No,0,0,No,3,0,12,No,Urban
66662029,0,2/14/1950,49,0,5,49244,No,163444,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,No,0,0,No,1,0,1,No,Urban
294816298,2,8/3/1963,36,2,12,130540,Yes,344195,No,F,Bachelors,Blue Collar,5,Commercial,27200,4,Minivan,No,0,0,No,0,0,9,No,Rural
686791659,0,5/7/1947,52,0,8,51278,No,230340,Yes,F,Bachelors,Professional,37,Private,1500,4,SUV,No,0,0,No,1,0,10,No,Urban
396972296,0,7/26/1960,39,0,10,35081,No,202839,Yes,M,Bachelors,Blue Collar,38,Commercial,16640,4,Van,Yes,0,0,No,0,0,13,No,Urban
364483168,0,4/9/1943,56,0,0,0,No,63827,Yes,F,PhD,Home Maker,65,Private,13220,1,Minivan,No,0,0,No,0,0,12,No,Rural
866093378,0,3/7/1950,49,0,12,115044,No,311980,No,F,PhD,Doctor,18,Private,17900,1,Minivan,No,0,0,No,0,0,14,No,Urban
515421877,0,5/30/1961,38,0,11,37754,No,138823,Yes,F,High School,Clerical,47,Private,12080,1,SUV,No,0,0,No,2,0,9,No,Rural
745183922,0,6/30/1949,50,0,8,167469,No,0,No,F,PhD,Doctor,22,Private,34150,4,Sports Car,No,0,0,No,3,0,1,No,Urban
298271736,0,11/4/1936,63,0,15,121398,No,343410,Yes,F,PhD,Doctor,10,Private,16270,1,SUV,No,0,0,No,0,0,11,No,Urban
70821537,0,8/12/1947,52,0,0,0,No,87925,No,F,High School,Student,48,Commercial,9280,1,SUV,No,0,0,No,1,0,6,No,Rural
258951025,0,10/24/1964,35,0,7,14508,No,0,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,No,0,0,No,0,0,7,No,Urban
807174588,0,11/16/1956,43,0,13,75338,No,270555,Yes,F,Bachelors,Manager,40,Private,23080,1,Sports Car,No,0,0,No,0,0,8,No,Urban
514538041,0,10/6/1958,41,0,10,32774,No,0,No,F,High School,Clerical,44,Private,20120,4,Minivan,No,0,0,No,0,0,1,No,Rural
25561360,0,4/8/1959,40,0,11,57474,No,186418,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,Yes,0,0,No,1,0,5,No,Urban
753037176,0,8/7/1968,31,1,12,26520,No,154493,Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,Yes,0,0,No,2,0,5,No,Urban
31827166,0,1/6/1946,53,0,17,107259,No,343700,Yes,M,Masters,Professional,36,Private,29230,10,Minivan,Yes,0,0,No,0,0,15,No,Urban
680782638,0,6/5/1960,39,3,7,34046,No,183383,Yes,F,High School,Clerical,33,Private,4040,6,SUV,No,0,0,No,0,0,5,No,Rural
883604551,0,5/20/1966,33,3,14,32364,No,152894,Yes,M,High School,Clerical,40,Private,12270,18,Minivan,Yes,0,0,No,3,0,1,No,Urban
885280620,0,4/26/1959,40,0,11,16989,No,0,No,M,High School,Blue Collar,20,Commercial,12230,4,Pickup,Yes,26104,1,Yes,13,6100,6,Yes,Urban
931739722,0,7/15/1958,41,2,7,17755,Yes,148815,No,F,High School,Clerical,29,Private,14480,1,Minivan,Yes,0,0,Yes,2,0,1,No,Urban
840809480,0,6/29/1963,36,3,12,56048,No,137836,Yes,M,Masters,Lawyer,15,Private,10700,6,Minivan,No,2045,2,No,2,0,16,No,Urban
800426023,0,12/2/1954,44,2,15,16352,No,134164,Yes,F,High School,Home Maker,37,Private,10520,1,SUV,No,7838,1,No,1,8841,1,Yes,Urban
14827139,0,2/7/1943,56,0,16,44760,No,164852,Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,Yes,0,0,No,0,0,6,No,Urban
212687745,1,12/30/1953,45,1,14,63952,No,196368,Yes,F,Masters,Lawyer,50,Private,32340,6,Van,No,27877,2,Yes,0,2117,13,Yes,Urban
224701093,0,4/16/1965,34,3,12,22510,No,123888,Yes,M,High School,Clerical,26,Private,14690,4,Minivan,Yes,0,0,Yes,0,1230,1,Yes,Rural
926073051,1,10/12/1955,44,2,47,24060,Yes,0,No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,No,0,0,No,0,3532,10,Yes,Urban
45830738,0,7/25/1966,33,4,12,20822,No,76022,Yes,F,High School,Home Maker,46,Private,6880,13,SUV,No,7896,3,No,0,866,1,Yes,Urban
997497927,0,12/6/1966,32,3,14,54968,No,146784,Yes,F,High School,Professional,20,Private,10040,4,SUV,No,0,0,Yes,0,0,8,No,Urban
862203239,0,10/20/1965,34,0,8,14194,No,87034,No,F,High School,Clerical,13,Private,2920,4,Sports Car,No,24767,3,Yes,2,7786,10,Yes,Urban
116102677,1,11/6/1961,38,4,12,2149,No,72889,Yes,F,High School,Home Maker,35,Private,22690,10,Pickup,No,0,0,No,2,0,1,No,Urban
62434528,2,5/10/1956,43,3,11,137103,Yes,0,No,F,Masters,Manager,29,Private,19510,1,Sports Car,No,8890,3,No,0,4148,15,Yes,Urban
948288985,0,10/25/1953,46,0,10,79538,No,0,No,F,Bachelors,Manager,13,Private,14050,3,Minivan,No,0,0,Yes,2,0,11,No,Urban
396323054,0,12/3/1953,45,1,11,185836,No,509115,Yes,F,PhD,Lawyer,28,Private,10250,1,SUV,No,4307,3,No,6,0,20,No,Urban
429992959,0,9/16/1936,63,0,9,74426,No,0,No,F,PhD,Doctor,11,Private,27600,1,SUV,No,0,0,No,0,0,18,No,Urban
160577728,0,2/18/1955,44,0,9,74722,No,231034,Yes,F,Bachelors,Professional,9,Private,23640,6,Minivan,No,0,0,No,0,0,1,No,Urban
108385737,1,3/7/1954,45,2,11,102393,Yes,0,No,M,Bachelors,Professional,25,Private,1500,1,Minivan,Yes,0,0,No,2,2371,11,Yes,Urban
414142186,0,9/17/1937,62,0,15,40656,No,208242,Yes,F,High School,Clerical,57,Private,9170,4,Sports Car,No,42342,2,Yes,2,4178,7,Yes,Urban
537840281,0,8/27/1964,35,0,5,29371,No,0,No,F,High School,Clerical,49,Private,4860,10,Sports Car,No,0,0,No,0,0,1,No,Urban
748139140,0,8/13/1951,48,0,12,31773,No,165090,Yes,M,High School,Clerical,14,Commercial,9640,13,Pickup,No,1212,1,No,4,1354,1,Yes,Urban
601118153,0,12/26/1959,39,0,11,33727,No,0,No,F,Bachelors,Clerical,27,Private,10850,1,SUV,No,8350,1,No,2,0,12,No,Urban
808304017,0,5/30/1950,49,0,0,0,No,159389,Yes,F,Masters,Professional,42,Private,6400,10,SUV,No,9115,1,No,6,0,14,No,Urban
803325269,0,7/24/1955,44,2,15,139330,Yes,316900,No,F,High School,Blue Collar,35,Commercial,22050,10,Sports Car,No,0,0,No,0,0,1,No,Rural
701235200,0,12/22/1948,50,0,13,163296,No,447616,No,F,PhD,Lawyer,42,Private,22830,1,Minivan,No,0,0,No,0,0,14,No,Rural
916609661,0,10/3/1969,30,1,10,17455,Yes,140978,No,F,High School,Blue Collar,50,Private,12380,13,Minivan,No,0,0,No,0,0,6,No,Rural
469714824,0,11/3/1945,54,0,61,71007,No,240833,Yes,M,Bachelors,Manager,61,Private,14000,6,Minivan,No,0,0,No,0,0,11,No,Urban
46606719,0,9/6/1961,38,0,0,0,No,0,Yes,M,High School,Student,41,Commercial,17470,10,Van,No,3157,2,No,5,0,6,No,Rural
454040458,0,4/9/1946,53,0,6,38036,No,153381,Yes,F,High School,Blue Collar,32,Commercial,13140,1,SUV,No,0,0,No,4,2425,1,Yes,Urban
951246359,0,3/30/1946,53,0,13,41199,No,150933,No,F,Bachelors,Manager,21,Private,15360,1,SUV,No,0,0,No,0,0,8,No,Urban
389315422,0,11/28/1969,29,1,10,38042,Yes,202967,No,M,High School,Professional,15,Private,15160,6,Minivan,No,0,0,No,0,0,1,No,Urban
184578161,0,7/25/1944,55,0,7,45787,No,173196,Yes,F,Masters,Lawyer,5,Private,19380,6,Minivan,No,0,0,No,0,0,13,No,Urban
59798468,0,9/17/1944,55,0,18,84964,No,227091,Yes,M,Bachelors,Blue Collar,21,Commercial,5760,1,Pickup,Yes,969,2,No,6,0,11,No,Urban
402443529,0,12/20/1959,39,2,0,0,No,69369,Yes,F,High School,Home Maker,36,Private,8750,4,Sports Car,No,0,0,No,0,0,8,No,Urban
298667574,2,6/26/1955,44,2,13,142588,No,365256,Yes,M,Masters,Manager,28,Private,21790,6,Minivan,Yes,0,0,No,2,0,9,No,Urban
303462460,0,5/13/1965,34,0,11,51565,No,0,No,M,Masters,Lawyer,36,Private,18110,1,Van,Yes,759,2,No,3,0,15,No,Urban
629946797,0,8/8/1965,34,3,0,0,No,66358,Yes,F,High School,Home Maker,25,Private,11740,9,SUV,No,1800,2,No,2,5711,1,Yes,Urban
783473090,0,1/6/1963,36,0,11,105384,No,267509,Yes,M,Masters,Professional,24,Private,13800,7,Minivan,Yes,31695,3,Yes,4,0,17,No,Urban
8565171,0,10/13/1958,41,0,10,66265,No,159276,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,Yes,0,0,No,1,13105,9,Yes,Urban
867703916,0,3/8/1954,45,0,12,32394,No,0,No,F,High School,Clerical,33,Private,13770,4,SUV,No,0,0,No,0,0,1,No,Urban
593582812,0,7/31/1957,42,0,9,76226,No,217920,Yes,M,Bachelors,Blue Collar,18,Commercial,23390,13,Panel Truck,Yes,0,0,No,0,0,14,No,Urban
22340563,1,5/25/1961,38,3,16,7528,No,113809,Yes,M,High School,Clerical,26,Private,8080,1,Pickup,Yes,0,0,No,0,0,8,No,Rural
679555193,0,2/16/1966,33,4,0,0,Yes,0,No,M,High School,Student,14,Commercial,15090,1,Minivan,Yes,1631,1,No,2,7838,5,Yes,Urban
700623278,1,1/5/1957,42,1,9,32797,No,160661,Yes,F,Masters,Lawyer,63,Private,21690,1,Minivan,No,0,0,No,2,0,14,No,Urban
755810990,0,11/20/1951,47,0,11,44705,No,217885,Yes,F,Bachelors,Professional,50,Private,12840,1,SUV,No,1533,2,No,0,5125,10,Yes,Urban
464090162,0,11/11/1956,43,1,0,0,No,70170,Yes,F,Bachelors,Home Maker,26,Private,8350,1,SUV,No,0,0,No,3,0,7,No,Urban
170483243,0,6/6/1947,52,0,9,68992,No,216986,No,F,Bachelors,Blue Collar,36,Commercial,15120,1,Minivan,No,0,0,No,3,0,10,No,Rural
421316364,0,10/8/1956,43,0,11,132561,No,314433,No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,No,12294,1,No,0,0,1,No,Urban
505563410,0,1/6/1935,64,0,15,31738,No,197010,Yes,M,High School,Blue Collar,23,Commercial,14620,6,SUV,No,3994,2,No,0,5085,1,Yes,Urban
813759954,0,1/21/1933,66,1,17,96830,No,325826,Yes,M,Masters,Professional,23,Private,11180,7,SUV,No,0,0,No,0,0,16,No,Urban
130470336,2,12/8/1963,35,4,6,154577,Yes,397868,No,F,Bachelors,Blue Collar,27,Private,20450,6,SUV,No,4645,1,No,3,0,1,No,Urban
637739719,0,4/23/1947,52,0,7,64014,No,244863,Yes,M,High School,Blue Collar,33,Commercial,7900,4,Pickup,Yes,8882,3,No,1,2143,5,Yes,Urban
427956603,0,9/11/1947,52,0,11,79348,No,270032,Yes,F,High School,Manager,23,Private,13150,11,SUV,No,0,0,No,2,0,1,No,Urban
765577228,0,5/8/1944,55,0,15,108152,No,329756,Yes,F,Masters,Manager,18,Private,12320,1,SUV,No,0,0,Yes,0,0,15,No,Urban
106556153,0,3/4/1973,26,0,8,53244,No,0,No,M,Bachelors,Professional,28,Commercial,20920,3,Van,Yes,6224,1,No,1,4028,8,Yes,Urban
199037688,1,9/5/1938,61,2,17,41857,No,169015,Yes,F,Masters,Manager,35,Private,20870,1,Sports Car,No,0,0,No,0,0,21,No,Urban
602893924,0,10/22/1958,41,1,8,126468,Yes,0,No,F,Masters,Manager,34,Commercial,32690,3,Pickup,No,0,0,No,2,2114,18,Yes,Urban
52095937,3,6/19/1959,40,3,9,75516,No,247673,Yes,F,High School,Blue Collar,53,Commercial,13050,5,Sports Car,No,0,0,Yes,0,0,6,No,Rural
351243985,0,3/6/1947,52,0,16,76954,No,249290,No,M,Bachelors,Professional,44,Private,19540,6,Minivan,Yes,0,0,Yes,0,0,11,No,Urban
838970447,0,7/29/1941,58,1,8,150352,No,421665,Yes,F,Masters,Manager,21,Private,24240,6,Pickup,No,0,0,No,0,0,17,No,Urban
515204929,0,1/20/1947,52,0,8,88560,No,244028,Yes,M,Masters,Lawyer,14,Private,13630,1,Minivan,No,0,0,No,4,0,17,No,Urban
711833264,1,4/25/1961,38,1,12,37580,No,173495,Yes,F,High School,Clerical,36,Private,5260,7,SUV,No,867,2,No,0,8671,1,Yes,Urban
818910510,0,4/8/1958,41,2,15,23344,No,147172,Yes,M,High School,Blue Collar,10,Private,7930,1,Pickup,No,0,0,No,1,6287,1,Yes,Urban
243016778,0,1/20/1962,37,0,16,43290,No,158771,Yes,F,Bachelors,Blue Collar,29,Private,23640,1,SUV,No,0,0,No,0,0,10,No,Urban
456565450,0,11/22/1950,48,0,10,48737,No,220264,Yes,M,Bachelors,Manager,24,Private,11220,9,Pickup,Yes,0,0,No,1,0,1,No,Urban
693628088,0,1/16/1952,47,0,12,64259,No,202031,Yes,M,High School,Clerical,26,Private,25100,18,Minivan,No,9526,4,No,3,0,9,No,Urban
504537312,0,3/17/1950,49,0,12,53765,No,0,No,F,Bachelors,Professional,5,Private,12360,4,SUV,No,0,0,No,0,0,1,No,Urban
82973186,0,7/5/1958,41,0,6,12541,No,0,No,M,High School,Clerical,5,Private,7500,1,Minivan,Yes,0,0,No,0,0,1,No,Rural
411375726,0,4/5/1955,44,1,17,67278,No,220556,Yes,F,Masters,Lawyer,49,Private,20210,1,Minivan,No,0,0,No,0,0,16,No,Rural
789568994,0,6/16/1953,46,0,10,104990,No,306540,No,F,Bachelors,Professional,40,Private,16080,13,SUV,No,0,0,No,0,0,7,No,Urban
927823143,0,1/2/1950,49,0,6,89948,No,0,No,F,Bachelors,Professional,37,Private,18160,7,SUV,No,0,0,No,4,0,9,No,Urban
179968769,0,12/3/1936,62,0,6,107734,No,0,No,F,PhD,Lawyer,54,Private,18470,3,SUV,No,0,0,No,0,0,15,No,Urban
180832267,0,1/18/1957,42,0,0,0,No,0,No,M,High School,Student,47,Commercial,5700,11,Pickup,Yes,0,0,No,5,10594,1,Yes,Urban
328154114,0,8/20/1963,36,2,12,25282,Yes,0,No,F,High School,Clerical,38,Private,11160,1,SUV,No,0,0,No,0,0,1,No,Rural
316724150,0,12/24/1951,47,0,11,18549,No,116136,Yes,M,Masters,Lawyer,24,Private,12800,7,Minivan,No,0,0,No,0,0,14,No,Urban
680425927,0,2/7/1948,51,0,9,50166,No,187297,No,M,High School,Blue Collar,32,Commercial,11620,1,Pickup,No,50701,3,Yes,0,0,1,No,Urban
541204921,0,9/8/1953,46,0,8,73872,No,245878,Yes,F,Masters,Lawyer,43,Private,20240,4,Sports Car,No,0,0,No,0,0,16,No,Rural
329922821,0,2/18/1949,50,0,14,73343,No,254600,Yes,F,High School,Manager,60,Private,20010,1,Minivan,No,4179,2,No,4,0,8,No,Urban
271813109,0,9/18/1956,43,2,15,49849,Yes,0,No,F,Masters,Lawyer,35,Private,13130,1,SUV,No,3622,3,No,4,6158,20,Yes,Urban
394642738,1,2/28/1960,39,1,16,12054,No,0,Yes,F,High School,Student,28,Commercial,15760,4,Pickup,No,1738,2,Yes,4,4887,1,Yes,Urban
93412915,0,7/3/1956,43,3,14,48184,No,209188,Yes,F,High School,Blue Collar,50,Commercial,14530,12,Sports Car,No,6891,2,No,5,0,1,No,Urban
531912267,0,3/13/1939,60,3,18,78936,No,235670,Yes,F,Masters,Lawyer,40,Private,20350,6,SUV,No,0,0,No,0,5147,15,Yes,Urban
753941980,0,3/7/1944,55,0,0,0,No,0,No,M,High School,Student,33,Private,7000,4,Pickup,No,0,0,No,0,0,1,No,Rural
116801717,0,5/21/1959,40,0,10,78914,No,229055,No,F,Bachelors,Manager,36,Private,5500,10,SUV,No,6803,2,No,6,0,10,No,Urban
56874449,0,4/28/1960,39,0,6,77125,No,210840,Yes,F,Bachelors,Clerical,49,Private,9570,7,Sports Car,No,0,0,No,1,0,13,No,Urban
426760177,0,12/18/1949,49,0,46,38326,No,133010,Yes,M,Masters,Lawyer,5,Private,10230,4,Pickup,Yes,0,0,No,0,0,17,No,Urban
632192290,0,10/27/1961,38,0,14,25835,No,109685,Yes,M,High School,Clerical,29,Private,8490,6,Pickup,Yes,0,0,No,1,0,12,No,Urban
293412653,0,11/8/1957,42,0,12,47660,No,180206,Yes,M,Masters,Professional,31,Private,11940,7,Pickup,Yes,974,2,No,6,0,18,No,Urban
285566265,0,3/5/1957,42,0,10,123143,No,306368,No,F,Masters,Manager,16,Private,24930,4,Minivan,No,0,0,No,3,0,14,No,Urban
461573915,0,2/4/1950,49,0,8,22059,No,123924,Yes,F,High School,Clerical,24,Commercial,21990,11,Pickup,No,0,0,No,1,0,1,No,Urban
735267214,1,8/4/1963,36,1,12,50750,Yes,0,No,F,Masters,Manager,26,Private,10170,7,SUV,No,5877,3,No,7,0,14,No,Urban
225215551,0,5/18/1965,34,1,10,23571,Yes,0,No,M,High School,Clerical,35,Commercial,12180,7,Pickup,Yes,0,0,No,0,0,7,No,Urban
715988300,0,9/23/1950,49,0,0,0,No,79913,Yes,F,PhD,Home Maker,29,Private,18110,7,SUV,No,0,0,No,1,0,1,No,Urban
473135731,0,1/9/1947,52,0,12,35631,No,155972,Yes,M,High School,Clerical,39,Private,6040,10,Minivan,Yes,0,0,No,0,0,1,No,Urban
683378483,0,5/16/1944,55,0,14,55409,No,162237,Yes,M,Bachelors,Blue Collar,45,Commercial,27890,4,Panel Truck,No,0,0,No,0,0,14,No,Rural
986629118,1,1/14/1959,40,2,12,35260,No,141167,Yes,F,High School,Blue Collar,30,Private,9740,7,SUV,No,2235,1,No,8,0,1,No,Urban
925227514,0,11/23/1958,40,4,15,48067,Yes,186025,No,F,Bachelors,Clerical,21,Private,18120,8,Minivan,No,0,0,No,0,0,8,No,Urban
437239046,0,3/16/1954,45,2,12,64867,No,210631,Yes,F,Masters,Lawyer,21,Private,12490,1,SUV,No,0,0,No,0,0,10,No,Urban
493235037,0,7/4/1919,80,2,23,97716,No,389344,Yes,M,Bachelors,Professional,14,Private,15920,13,Minivan,Yes,0,0,No,2,0,10,No,Urban
503906420,0,4/3/1951,48,0,10,39613,No,159534,Yes,M,High School,Blue Collar,48,Commercial,8460,10,Pickup,Yes,7437,2,No,6,0,1,No,Urban
384628643,0,10/21/1959,40,0,11,49780,No,0,No,F,High School,Clerical,52,Private,10500,6,Sports Car,No,0,0,No,0,0,1,No,Rural
919341680,0,1/12/1973,26,3,9,33283,No,104323,Yes,M,Bachelors,Blue Collar,37,Commercial,7690,10,Pickup,No,0,0,No,2,2214,16,Yes,Urban
122722410,0,10/4/1954,45,0,11,60845,No,0,No,F,Bachelors,Manager,31,Private,24260,4,Minivan,No,0,0,No,0,0,18,No,Urban
138562850,0,2/5/1953,46,0,7,26697,No,134863,Yes,F,High School,Clerical,43,Private,15080,6,SUV,No,0,0,Yes,4,0,1,No,Urban
582602737,0,1/14/1957,42,0,12,136344,No,0,No,F,PhD,Doctor,45,Private,13160,1,Sports Car,No,0,0,No,0,6087,17,Yes,Urban
349219108,0,10/19/1963,36,0,7,70313,No,211506,Yes,F,Bachelors,Professional,55,Private,14960,6,Minivan,No,7650,3,No,5,0,4,No,Urban
197076194,0,7/4/1954,45,3,15,23773,Yes,0,No,F,High School,Home Maker,9,Commercial,34510,7,Van,No,0,0,No,0,0,1,No,Rural
751811972,0,10/23/1947,52,0,11,115713,No,327167,No,F,Bachelors,Professional,28,Private,21660,6,Sports Car,No,0,0,No,0,0,11,No,Rural
345771306,0,9/13/1958,41,0,8,55364,No,0,No,M,High School,Clerical,17,Commercial,31390,1,Panel Truck,Yes,0,0,No,3,0,1,No,Rural
164734443,0,6/23/1963,36,0,14,27693,No,130324,Yes,F,High School,Clerical,37,Private,11300,10,Sports Car,No,19385,1,No,4,0,7,No,Urban
449363369,0,3/31/1943,56,0,0,0,No,103058,Yes,F,Bachelors,Home Maker,29,Private,27890,13,SUV,No,25147,2,No,0,0,9,No,Urban
699382604,1,4/25/1946,53,1,0,0,No,0,Yes,F,High School,Student,34,Private,1500,10,Sports Car,No,1175,3,No,2,0,7,No,Rural
270402636,0,1/6/1960,39,0,12,32936,No,169721,No,F,High School,Clerical,12,Private,1500,6,SUV,No,0,0,No,0,3894,7,Yes,Urban
847568213,0,9/8/1961,38,0,11,33151,No,184852,Yes,F,Bachelors,Professional,31,Private,11530,13,SUV,No,0,0,No,0,0,9,No,Rural
581342206,1,6/18/1954,45,3,0,0,Yes,0,No,M,High School,Home Maker,36,Private,16510,4,Minivan,No,17445,3,Yes,0,2659,1,Yes,Urban
586056136,0,10/16/1953,46,0,14,24575,No,176282,Yes,F,High School,Home Maker,73,Private,8560,10,Sports Car,No,0,0,No,0,0,9,No,Rural
621465072,0,2/9/1956,43,2,16,32546,No,200891,Yes,M,High School,Clerical,49,Private,5800,10,Minivan,Yes,0,0,No,1,0,5,No,Urban
658489952,1,2/11/1945,54,1,0,0,Yes,0,No,F,Bachelors,Home Maker,21,Private,18820,6,SUV,No,5537,1,No,6,0,9,No,Urban
159680310,0,10/20/1938,61,0,10,58212,No,226638,Yes,F,High School,Blue Collar,37,Private,13420,1,Sports Car,No,3573,3,No,3,0,1,No,Rural
444239590,0,7/26/1949,50,0,7,73308,No,240645,No,M,Masters,Lawyer,38,Private,18720,7,Van,No,0,0,No,2,0,19,No,Rural
34434267,0,12/20/1936,62,0,12,22181,No,185459,No,F,High School,Clerical,24,Private,17880,7,Sports Car,No,9873,3,No,5,3705,1,Yes,Urban
416505182,0,9/7/1946,53,0,15,84345,No,264549,Yes,F,Bachelors,Manager,36,Private,9930,4,SUV,No,0,0,No,3,6693,5,Yes,Urban
930929206,0,7/24/1945,54,0,15,107808,No,278940,Yes,F,Bachelors,Manager,45,Commercial,27020,7,Pickup,No,1780,3,No,0,0,6,No,Urban
23391155,0,2/19/1946,53,1,13,52759,No,164906,Yes,F,Bachelors,Professional,41,Private,24160,9,Minivan,No,0,0,No,0,0,13,No,Rural
391760011,0,7/1/1960,39,2,12,59685,No,197089,Yes,M,High School,Blue Collar,42,Commercial,7470,7,Pickup,No,0,0,No,0,0,1,No,Rural
987326546,0,12/8/1960,38,0,12,90647,No,251629,Yes,F,Masters,Lawyer,38,Private,13740,4,Minivan,No,8450,1,No,0,0,15,No,Rural
